video_id,year,series,series_name,title,brands,url
jnxU53Fe_cM,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award & Sustainable Tech Special Award : AIoT Application Server,,https://www.youtube.com/watch?v=jnxU53Fe_cM
9FKNIbGdW2U,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : 2.5GBASE-T1 MACsec Ethernet Transceiver,,https://www.youtube.com/watch?v=9FKNIbGdW2U
pIsSrTO6uzQ,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : 55inch Transparent Multi-touch Screen,,https://www.youtube.com/watch?v=pIsSrTO6uzQ
4WGxUU3O4HY,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : AI enabled touch screen Solution for foldable NB,,https://www.youtube.com/watch?v=4WGxUU3O4HY
O1F95jyBias,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Acer Swift Go 14,Acer,https://www.youtube.com/watch?v=O1F95jyBias
N46vlnHRRhM,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Automotive AI Audio DSP,,https://www.youtube.com/watch?v=N46vlnHRRhM
Ku6JnEqXf5E,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Claw Gaming Handheld,,https://www.youtube.com/watch?v=Ku6JnEqXf5E
1bntL5xCBbo,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Full IP69K Waterproof Stainless Steel Box PC,,https://www.youtube.com/watch?v=1bntL5xCBbo
qwmziwwTrAE,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : MSI GeForce RTX™ 4090 24G SUPRIM FUZION,MSI,https://www.youtube.com/watch?v=qwmziwwTrAE
RldToFuTLCs,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Medical Point of Care and Mobile Cart. Computing Solution,,https://www.youtube.com/watch?v=RldToFuTLCs
C4riIs9FktA,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Modern AM273Q Series,,https://www.youtube.com/watch?v=C4riIs9FktA
r0pTULIte5Q,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : MuseTree,,https://www.youtube.com/watch?v=r0pTULIte5Q
B1DBMKg86rA,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : NVIDIA GH200 Grace Hopper Superchip,NVIDIA,https://www.youtube.com/watch?v=B1DBMKg86rA
xofL35UzNEo,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : NVIDIA Spectrum-X AI Ethernet Networking Platform,NVIDIA,https://www.youtube.com/watch?v=xofL35UzNEo
wq7n1sHCefU,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : PCIe Gen4 x4 Automotive SSD Controller,,https://www.youtube.com/watch?v=wq7n1sHCefU
SEzmD9r30ms,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Predator Z57 MiniLED Gaming Monitor,Acer Predator,https://www.youtube.com/watch?v=SEzmD9r30ms
GONr6f6sPFM,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : ProArt P16,,https://www.youtube.com/watch?v=GONr6f6sPFM
kW0jmd28NLM,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : ROG Ally (2023),,https://www.youtube.com/watch?v=kW0jmd28NLM
cV4YziA-_PM,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : ROG Zephyrus G16,,https://www.youtube.com/watch?v=cV4YziA-_PM
FwTYVaLIcdE,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Streaming Center,,https://www.youtube.com/watch?v=FwTYVaLIcdE
SU7_jNt4aYw,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : Wi-Fi 7 4x5 Single-Chip Solution,,https://www.youtube.com/watch?v=SU7_jNt4aYw
nMJurSU1XO0,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : XPG Project NeonStorm PCIe Gen5 SSD,ADATA,https://www.youtube.com/watch?v=nMJurSU1XO0
xzdyxGnJmZQ,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : ZOTAC ZBOX EGB AD3500 External GPU Box,Zotac,https://www.youtube.com/watch?v=xzdyxGnJmZQ
WpRAkMVXA_4,2024,bcaward,Best Choice Award,2024 Best Choice Award-Category Award : ZenScreen Fold OLED MQ17QH,,https://www.youtube.com/watch?v=WpRAkMVXA_4
oMTquOn67Rc,2024,bcaward,Best Choice Award,2024 Best Choice Award-Golden Award : CypherCom End-to-end Encryption Communication System,,https://www.youtube.com/watch?v=oMTquOn67Rc
BaTamplUCGs,2024,bcaward,Best Choice Award,2024 Best Choice Award-Golden Award : New Generation AIoT Home Center SoC,,https://www.youtube.com/watch?v=BaTamplUCGs
eTjwzQumv9I,2024,bcaward,Best Choice Award,2024 Best Choice Award-Golden Award : Predator Helios 18,Acer Predator,https://www.youtube.com/watch?v=eTjwzQumv9I
Y3aG6Iyp2po,2024,bcaward,Best Choice Award,2024 Best Choice Award-Golden Award : Prestige 16 AI Evo Slim AI Laptop,,https://www.youtube.com/watch?v=Y3aG6Iyp2po
FPpxCMp0d-M,2024,bcaward,Best Choice Award,2024 Best Choice Award-Golden Award : ROG Matrix Platinum GeForce RTX™ 4090 24GB GDDR6X,,https://www.youtube.com/watch?v=FPpxCMp0d-M
gW05OcZ9Tdg,2024,bcaward,Best Choice Award,2024 Best Choice Award-Golden Award : SmartVDO Air,,https://www.youtube.com/watch?v=gW05OcZ9Tdg
hj2TAvByeoY,2024,bcaward,Best Choice Award,2024 Best Choice Award-Golden Award : ThreatSonar Anti-Ransomware,,https://www.youtube.com/watch?v=hj2TAvByeoY
b-UE5KIEdaA,2024,bcaward,Best Choice Award,2024 Best Choice Award-Golden Award : j-mex MOXI Smart Mo-Cap Suit,,https://www.youtube.com/watch?v=b-UE5KIEdaA
9cM3OlJDeC0,2024,bcaward,Best Choice Award,2024 Best Choice Award-Sustainable Tech Special Award : Cubi NUC Series,,https://www.youtube.com/watch?v=9cM3OlJDeC0
lJ0nECloq5Y,2024,bcaward,Best Choice Award,2024 Best Choice Award-Sustainable Tech Special Award : ECO-1000 Supercapacitor UPS,,https://www.youtube.com/watch?v=lJ0nECloq5Y
yUgNAFgCwbk,2024,bcaward,Best Choice Award,2024 Best Choice Award-Sustainable Tech Special Award : Framework Laptop 16,,https://www.youtube.com/watch?v=yUgNAFgCwbk
QGSPC1Piv50,2024,bcaward,Best Choice Award,2024 Best Choice of the Year : NVIDIA AI Enterprise,NVIDIA,https://www.youtube.com/watch?v=QGSPC1Piv50
5w56pQGMvQo,2024,bcaward,Best Choice Award,COMPUTEX 2024 Best Choice Award - Jury Session Highlights,,https://www.youtube.com/watch?v=5w56pQGMvQo
V-l9uRAJ_YI,2024,bcaward,Best Choice Award,COMPUTEX 2024 Best Choice Award Winners Launch,,https://www.youtube.com/watch?v=V-l9uRAJ_YI
0AuZfYm3wLQ,2024,bcaward,Best Choice Award,COMPUTEX 2024 Best Choice Award: The Best for You!,,https://www.youtube.com/watch?v=0AuZfYm3wLQ
0irSaXZ0rpc,2024,bcaward,Best Choice Award,COMPUTEX TAIPEI官方獎項Best Choice Award 2024 徵件最後倒數 Last Call,,https://www.youtube.com/watch?v=0irSaXZ0rpc
YJNNm7uIHz8,2024,computour,COMPUTOUR (booth tour),"【COMPUTEX 2024】 COMPUTOUR - AI & environment-friendly : smart mobility, car, new products experience",,https://www.youtube.com/watch?v=YJNNm7uIHz8
KFQUoYGFJBU,2024,computour,COMPUTOUR (booth tour),"【COMPUTEX 2024】 COMPUTOUR - AI Trend & Global Tech Event. ft. NVIDIA, AMD",AMD;NVIDIA,https://www.youtube.com/watch?v=KFQUoYGFJBU
gJlyBfdp1Gk,2024,computour,COMPUTOUR (booth tour),"【COMPUTEX 2024】 COMPUTOUR - AI, Technology, and party: a brand new experience",,https://www.youtube.com/watch?v=gJlyBfdp1Gk
lQ7TuZDY4oA,2024,computour,COMPUTOUR (booth tour),【COMPUTEX 2024】 COMPUTOUR - More than AI: the real global technology platform for the latest product,,https://www.youtube.com/watch?v=lQ7TuZDY4oA
6WKes5-hURc,2024,computour,COMPUTOUR (booth tour),【COMPUTEX 2024】COMPUTOUR - ASUSTeK Computer Inc.,ASUS,https://www.youtube.com/watch?v=6WKes5-hURc
6bM98HgAfF0,2024,computour,COMPUTOUR (booth tour),【COMPUTEX 2024】COMPUTOUR - Acer Incorporated,Acer,https://www.youtube.com/watch?v=6bM98HgAfF0
BIOATghAPJo,2024,computour,COMPUTOUR (booth tour),【COMPUTEX 2024】COMPUTOUR - Best Choice Award,,https://www.youtube.com/watch?v=BIOATghAPJo
bdbw6XlZePE,2024,computour,COMPUTOUR (booth tour),"【COMPUTEX 2024】COMPUTOUR - COOLEST AND LATEST TECH, ft. BC Award, G.Skill, Inwin, PGW, TSTA",G.Skill;InWin,https://www.youtube.com/watch?v=bdbw6XlZePE
WHgjqXQ_4CI,2024,computour,COMPUTOUR (booth tour),"【COMPUTEX 2024】COMPUTOUR - G.Skill International Enterprise Co., Ltd.",G.Skill,https://www.youtube.com/watch?v=WHgjqXQ_4CI
p5QRHN-X15U,2024,computour,COMPUTOUR (booth tour),"【COMPUTEX 2024】COMPUTOUR - GIGABYTE TECHNOLOGY CO., LTD.",Gigabyte,https://www.youtube.com/watch?v=p5QRHN-X15U
mNEFK8GVQhQ,2024,computour,COMPUTOUR (booth tour),"【COMPUTEX 2024】COMPUTOUR - Green & Tech, From Concept to Reality",,https://www.youtube.com/watch?v=mNEFK8GVQhQ
WMFnVOH8mEc,2024,computour,COMPUTOUR (booth tour),"【COMPUTEX 2024】COMPUTOUR - Groundbreaking AI & AI PC Innovations. ft.Acer,ASUS,GIGABYTE,TADA,Wiwynn",ASUS;Acer;Gigabyte;Wiwynn,https://www.youtube.com/watch?v=WMFnVOH8mEc
