ticker,company,year,capex_usd_bn,cash_reserves_usd_bn,confidence
BABA,Alibaba,2022,8.4,,high
BABA,Alibaba,2023,5.0,,high
BABA,Alibaba,2024,4.4,85.5,high
BABA,Alibaba,2025,11.8,82.3,high
BABA,Alibaba,2026,18.3,75.5,high
0700.HK,Tencent,2021,5.2,,high
0700.HK,Tencent,2022,2.6,45.9,high
0700.HK,Tencent,2023,3.4,,high
0700.HK,Tencent,2024,10.7,57.8,high
0700.HK,Tencent,2025,11.1,69.5,high
BIDU,Baidu,2021,1.7,28,high
BIDU,Baidu,2022,1.2,25,high
BIDU,Baidu,2023,1.6,27,high
BIDU,Baidu,2024,1.1,17,high
BIDU,Baidu,2025,1.7,16,high
private,ByteDance,2021,2.5,,low
private,ByteDance,2022,3.5,,low
private,ByteDance,2023,6.0,,low
private,ByteDance,2024,11.0,,low
private,ByteDance,2025,22.0,,low
