date,funder,recipient,kind,upfront_musd,total_musd,area,note
2021-12-08,Roche/Genentech,Recursion,discovery-partnership,150,12000,discovery,"Up to 40 programs in neuroscience and oncology; upfront $150m is ~1.2% of the up-to-$12bn headline. Roche terminated the neuroscience part in 2025; the AI lab kept none of the pipeline it worked on."
2022-01-06,Amgen,Generate:Biomedicines,discovery-partnership,50,1900,discovery,"Five initial protein-therapeutic programs (option on five more); ~$370m milestones per program. Upfront ~2.6% of headline."
2022-01-07,Sanofi,Exscientia,discovery-partnership,100,5300,discovery,"Up to 15 small-molecule candidates in oncology/immunology; upfront ~1.9% of the up-to-$5.2bn headline. Exscientia later folded into Recursion (2025)."
2022-11-08,Sanofi,Insilico Medicine,discovery-partnership,21.5,1200,discovery,"Up to six targets; the $21.5m covers upfront plus target-nomination fees, ~1.8% of the up-to-$1.2bn headline. Sanofi keeps worldwide rights to anything that results."
2023-11-03,AstraZeneca,Absci,discovery-partnership,unverified,247,discovery,"AI-designed cancer antibody; the $247m headline bundles an undisclosed upfront, R&D funding, milestones and royalties. AstraZeneca owns the resulting antibody."
2023-12-05,AbbVie,BigHat Biosciences,discovery-partnership,30,355,discovery,"Next-generation antibodies in oncology/neuroscience; $30m upfront + up to ~$325m R&D milestones. Upfront ~8.5% of headline (higher than the platform deals because it is a defined-scope antibody program)."
2020-11-17,Bristol Myers Squibb,insitro,discovery-partnership,50,2000,discovery,"ALS and frontotemporal-dementia targets; $50m upfront, up to $2bn milestones. As of the extension, insitro had earned on the order of $25m in discovery milestones - a small fraction of the headline."
2023-09-25,Novo Nordisk,Valo Health,discovery-partnership,60,2760,discovery,"Cardiometabolic programs; $60m upfront, up to $2.7bn milestones. Expanded 2025 to ~$4.6bn across up to 20 programs. Upfront ~2.2% of the original headline."
2024-01-08,Eli Lilly,Isomorphic Labs,discovery-partnership,45,1745,discovery,"Small molecules against multiple targets; $45m upfront + up to $1.7bn milestones + royalties. Upfront ~2.6% of headline. Lilly, not Isomorphic, owns the molecule and the trial."
2024-01-08,Novartis,Isomorphic Labs,discovery-partnership,37.5,1237.5,discovery,"Three undisclosed targets; EUR 34m (~$37.5m) upfront + up to EUR 1.1bn (~$1.2bn) milestones + royalties. Upfront ~3.0% of headline."
2026-01-20,Johnson & Johnson,Isomorphic Labs,discovery-partnership,unverified,unverified,discovery,"Cross-modality (small molecules, biologics, peptides, molecular glues) against hard-to-drug targets; J&J (Janssen) leads experimental validation and development. Terms undisclosed. Isomorphic's third pharma pact."
2026-07-03,Takeda,Insilico Medicine,discovery-partnership,60,600,discovery,"~$60m upfront and near-term payments; up to ~$600m total plus royalties. Takeda gets exclusive worldwide rights to develop, make and sell anything that emerges."
2026-02-09,Takeda,Iambic Therapeutics,discovery-partnership,unverified,1700,discovery,"Small molecules in oncology/inflammation/GI; undisclosed upfront + research funding, up to $1.7bn development and sales milestones + royalties. Takeda owns the downstream asset."
2025-09-23,Merck & Co.,Variational AI,discovery-partnership,unverified,349,discovery,"Two undisclosed targets using the Enki chemistry foundation model on Merck's proprietary data; up to $349m. Merck retains exclusive rights to develop and commercialize any compounds."
2021-04-12,Microsoft,Nuance,acquisition,19700,19700,workflow,"All-cash acquisition (closed March 2022) valued at $19.7bn incl. net debt. Bought the ambient-scribe and radiology-reporting workflow already inside most US hospitals - the distribution rail, not a drug-discovery model."
2023-01-10,BioNTech,InstaDeep,acquisition,unverified,680,discovery,"Up to ~GBP 562m (~$680m): ~GBP 362m cash-and-stock upfront + up to ~GBP 200m milestones. BioNTech absorbed the AI team and platform into its own pipeline."
2024-08-08,Recursion,Exscientia,acquisition,unverified,688,discovery,"All-stock merger (~$688m); Recursion holders ~74%, Exscientia ~26%; combined ~$850m cash. Two struggling public AI-drug shops combining - a consolidation, not an incumbent buying optionality."
2023-07-12,NVIDIA,Recursion,investment,50,50,compute,"$50m PIPE equity investment tied to a compute/foundation-model collaboration; Recursion also expanded its NVIDIA-based BioHive supercomputer. NVIDIA sells the shovels either way."
2024-10-23,Novo Nordisk Foundation,DCAI (Gefion supercomputer),compute,unverified,unverified,compute,"Foundation-funded NVIDIA DGX SuperPOD (1,528 H100 GPUs) built via DCAI (Foundation 85% / EIFO 15%); Novo Nordisk contracted as a customer for AI drug-discovery compute. The Foundation reportedly committed on the order of ~$100m+ to the centre."
2022-01-28,GSK,Cerebras,compute,unverified,unverified,compute,"GSK bought a Cerebras CS-1 wafer-scale system and co-developed the EBERT epigenomic model. A compute-buy plus research collaboration; GSK keeps the models it trains."
2025-10-28,Eli Lilly,NVIDIA,compute,unverified,1000,compute,"Co-innovation AI lab; the two committed up to ~$1bn over five years in talent, infrastructure and compute. Lilly deployed 'LillyPod' (1,016 Blackwell Ultra GPUs) and runs TuneLab, a federated platform on ~$1bn of Lilly's own proprietary data - Lilly owns the data, NVIDIA sells the compute."
2023-11-21,Roche/Genentech,NVIDIA,compute,unverified,unverified,compute,"Multi-year 'lab-in-a-loop' generative-AI collaboration on NVIDIA DGX Cloud and BioNeMo. Genentech keeps its proprietary data and models; NVIDIA provides the compute layer."
