relationship,period_or_date,amount_usd_b,estimated_spacex_shares_m_at_ipo_price,estimated_economic_pct_basic,headline,filing_fact,model_read,source
Tesla equity investment in SpaceX,2026-03,2.0,14.814814814814815,0.11329892604842354,Less than 1% per Tesla 10-Q; approx 0.11% if valued at $135 IPO price.,"Tesla 10-Q says the company invested $2.00B in SpaceX common stock, formerly a preferred share investment in xAI, representing an ownership interest of less than 1%.","This is not listed as a named holder in the SpaceX S-1/A beneficial ownership table; use as Tesla economic exposure, not control.",Tesla 10-Q 2026-04-23
Tesla revenue from SpaceX Megapack purchase,2026-Q1,0.087,,,Q1 2026 related-party operating transaction.,Tesla recognized $87M of revenues and $65M of cost of revenues from SpaceX for its purchase of Megapack products in ordinary course.,Confirms commercial relationship; not equity ownership.,Tesla 10-Q 2026-04-23
SpaceX Megapack purchases from Tesla,2025,0.506,,,SpaceX related-party capex purchase.,"SpaceX S-1/A says the company purchased $506M of Megapack products from Tesla in 2025, recorded in property, plant and equipment.",Adds related-party/capital-intensity complexity around AI/compute power infrastructure.,SpaceX S-1/A 2026-06-03
SpaceX Megapack purchases from Tesla,2024,0.191,,,SpaceX related-party capex purchase.,SpaceX S-1/A says the company purchased $191M of Megapack products from Tesla in 2024.,Commercial relationship predates the IPO and xAI consolidation.,SpaceX S-1/A 2026-06-03
Tesla commercial/licensing/support transactions with SpaceX,2025,0.1433,,,Tesla revenue from SpaceX-related commercial arrangements.,"Tesla 10-K/A says Tesla recognized approximately $143.3M of revenue in 2025, primarily for vehicle sales, under SpaceX commercial/licensing/support agreements.",Related-party commercial activity; not proof of material SpaceX equity ownership beyond the separate $2.00B investment.,Tesla 10-K/A 2026-04-30
Tesla expenses under SpaceX commercial/licensing/support agreements,2025,0.0114,,,Tesla expense to SpaceX.,Tesla 10-K/A says Tesla incurred approximately $11.4M of expenses in 2025 under SpaceX commercial/licensing/support agreements.,Small operating related-party expense.,Tesla 10-K/A 2026-04-30
Tesla aircraft-use expense to SpaceX,2025,0.0004,,,Tesla expense to SpaceX.,Tesla 10-K/A says SpaceX invoiced Tesla for use of aircraft owned and operated by SpaceX; Tesla incurred about $0.4M in 2025.,Immaterial but disclosed related-party link.,Tesla 10-K/A 2026-04-30
Tesla advertising on X,2025,0.0033,,,Tesla expense to X.,Tesla 10-K/A says Tesla directly or indirectly purchased advertising on X and incurred about $3.3M in 2025.,"Relevant because X became part of xAI, and xAI became part of SpaceX in 2026.",Tesla 10-K/A 2026-04-30
Tesla revenue from xAI Megapack sales,2025,0.4301,,,Tesla revenue from xAI before xAI became SpaceX subsidiary.,"Tesla 10-K/A says Tesla recognized approximately $430.1M of revenue in 2025 from xAI, primarily for Megapack products.",Shows Tesla/xAI commercial relationship feeding into the later SpaceX AI segment.,Tesla 10-K/A 2026-04-30
Tesla revenue from xAI through February 2026,2026-01_to_2026-02,0.0781,,,Tesla revenue from xAI before/around SpaceX xAI acquisition effective date.,"Tesla 10-K/A says Tesla recognized approximately $78.1M of revenue through February 2026 from xAI, primarily for Megapack products.",Cross-checks Tesla/xAI/SpaceX related-party chain.,Tesla 10-K/A 2026-04-30
Musk cross-company role,2026-04-30,,,,Governance and related-party context.,"Tesla 10-K/A describes Musk roles at Tesla, SpaceX, X/xAI, The Boring Company and Neuralink; SpaceX S-1/A shows Musk 84.4% voting control after offering.",Explains why Tesla says it is presumed to have significant influence over SpaceX for accounting even with less than 1% ownership.,Tesla 10-K/A 2026-04-30; Tesla 10-Q 2026-04-23; SpaceX S-1/A 2026-06-03
