underwriter,role,quality_score,note
Goldman Sachs,Joint bookrunner / lead-left group,5.0,Top-tier mega-cap IPO franchise and stabilization credibility.
Morgan Stanley,Joint bookrunner / lead-left group,5.0,Top-tier technology IPO franchise; stabilization agent per S-1/A.
BofA Securities,Joint bookrunner,4.5,Top global distribution and lending relationship.
Citigroup,Joint bookrunner,4.5,Top global distribution; strong cross-border reach.
J.P. Morgan,Joint bookrunner,4.5,Top global equity capital markets franchise.
Barclays,Joint bookrunner,4.0,Strong global technology/industrial ECM distribution.
Deutsche Bank Securities,Joint bookrunner,3.5,Global bank; useful international distribution.
Wells Fargo Securities,Bookrunner,3.5,Large U.S. distribution and lending relationship.
Allen & Company,Bookrunner,4.0,Elite tech/media relationship bank; narrower distribution.
Cantor,Bookrunner,3.0,Distribution support; not lead franchise.
Needham,Bookrunner,3.0,Growth/technology distribution support.
Raymond James,Bookrunner,3.0,Retail and middle-market distribution support.
Societe Generale,Bookrunner,3.0,European distribution support.
Stifel,Bookrunner,3.0,Retail and growth distribution support.
William Blair,Bookrunner,3.0,Growth-company distribution support.
BTG Pactual,Bookrunner,2.5,Latin America distribution support.
ING,Bookrunner,2.5,European distribution support.
Macquarie Capital,Bookrunner,2.5,Asia-Pacific/infrastructure distribution support.
Mirae Asset Securities,Bookrunner,2.5,Asia distribution support.
Mizuho,Bookrunner,3.0,Japan/global distribution support.
Santander,Bookrunner,2.5,European/Latin America distribution support.
