company,reported_security_or_vehicle,exposure_type,business,fair_value_usd,pct_private_investments,pct_net_assets,source_url,read_through
Apptronik,"Direct Series Seed 1 Preferred Stock and LP interest in AP 1125 Fund V with exposure to Apptronik Series A-1, A-2 and Seed 1 Preferred Stock","direct preferred + SPV",Humanoid Robotics,37250002,0.262699,0.255918,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,Top-three humanoid exposure; needs deployment and later-round validation.
Figure AI,LP interest in NV FigureAI Series B QP Partners LLC with economic exposure to Figure AI Series B Preferred Stock,SPV,Humanoid Robotics,37250000,0.262699,0.255918,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,Top-three humanoid exposure; needs commercial deployment and outside valuation validation.
Dyna,Direct ownership of Series A Preferred Stock,direct preferred,General Purpose Robotics,37249997,0.262699,0.255918,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,Top-three manipulation-platform exposure; needs customer traction and marked-up financing validation.
Dexmate,Direct ownership of Series 1 Seed Preferred Stock,direct preferred,General Purpose Robotics,9999997,0.070523,0.068703,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,Meaningful secondary robotics exposure but not large enough alone to justify the public premium.
Standard Bots,Direct ownership of Series C Preferred Stock,direct preferred,Industrial Automation,6999986,0.049366,0.048092,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,Industrial automation exposure added in the latest public holdings schedule.
Path Robotics,Direct ownership of Series D-2 Preferred Stock,direct preferred,Industrial Automation,5999996,0.042314,0.041222,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,Automation exposure; upside matters but is smaller than the top-three humanoid/manipulation names.
REK,Direct ownership of Series 1 Seed Preferred Stock,direct preferred,Humanoid Robotics,2500000,0.017631,0.017176,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,Small early-stage humanoid/robot competition exposure.
GMI Computing,SAFE convertible into Series B Preferred Stock,SAFE,Cloud Infrastructure,2000000,0.014105,0.013741,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,AI infrastructure adjacency; helps robotics compute theme but is not a pure robot manufacturer.
Cyan/CoCo Robotics,RoboStrategy DDGR LLC SAFE exposure to Cyan Robotics dba CoCo Robotics,SAFE via SPV,Logistics,1500000,0.010578,0.010305,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,Small logistics robotics exposure.
Endiatx,Direct ownership of Series A Preferred Stock,direct preferred,Medical Robotics,499998,0.003526,0.003435,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,De minimis medical robotics exposure.
Allonic,Direct ownership of Pre-seed Preferred Stock,direct preferred,Robotics Infrastructure,297349,0.002097,0.002043,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,De minimis robotics infrastructure exposure.
Purple Rhombus,LP interest in PU-1003 Fund I with exposure to Purple Rhombus SAFE note,SAFE via SPV,Defense Robotics,250000,0.001763,0.001718,https://www.sec.gov/Archives/edgar/data/2081119/000121390026058028/ea0291179-01_424b3.htm,De minimis defense robotics exposure.
