company,venue,zone,booth_no,brand,products,registered
A Barristor Company,TaiNEX 2,InnoVEX,S0304,,,2026-03
"A-Four Tech Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0906,"A4 TECH,Bloody,Fstyler",PC Keyboard,2026-03
AAEON Technology Inc.,TaiNEX 1,AI Computing & Tech,J1310,AAEON,Embedded Products,
AAEON Technology Inc.,TWTC Hall 1,Robotics,A0618,,,2026-03
"ABA LOCKS INTERNATIONAL CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0333c,ABA,Computer Lock,2026-03
"ABILITY ENTERPRISE CO., LTD.",TWTC Hall 1,Robotics,A0919a,,"Robot,Robotic Arm",2026-03
Academia Sinica,TaiNEX 2,InnoVEX,S0524,,"Semiconductors & Core Tech,Edge Computing,Artificial Intelligence & Big Data",2026-03
Accelerated Materials,TaiNEX 2,InnoVEX,S0304,,,2026-03
Accordance Systems Inc.,TaiNEX 2,AI Computing & System Integration Solution,R0134,"AiRPA,ARAID,PLC PLUS",Automated & Industrial Controller Module,
ACCU THERM CORP.,TaiNEX 2,Industrial IoT & Embedded Systems,P0932,,IIoT Solution,2026-03
Accucrazy,TaiNEX 2,InnoVEX,S0712a,,,2026-03
ACCUSYS STORAGE LTD.,TaiNEX 2,Storage & Management Solutions,R1022,Accusys,Disk Array / RAID,
Accuview Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P1409,Accuview,"LCD Display Module,Industrial Computer,Embedded Products,Human Machine Interface (HMI)",
Acegeek Technology Limited,TaiNEX 1,Components & Advanced Power Tech,I1325,ACEGEEK,"Thermal Adhesive & Grease,Computer Case,Computer Power Supply,PC Cooling & Fan,Other Computer Components & Parts",
Acer Incorporated,TaiNEX 1,System Integration Solution,L0802,"Acer,Predator",Laptop Computer,2026-03
"ACES ELECTRONICS CO., LTD",TaiNEX 1,Components & Advanced Power Tech,I1307,ACES,Computer Cables & Connectors,
Acon-Holding INC.,TaiNEX 1,Advanced Communication & Networking,K0616,"德臻科技GLW GALLOPWIRE,連展科技ADVANCED-CONNECTEK INC.,連訊通訊AOPT ACON OPTICS,連騰科技awan ADVANCED WIRELESS & ANTENNA INC,連展電能ACON-ECO",Network Antenna,
"AcroCyte Therapeutics, Inc.",TaiNEX 2,InnoVEX,S0311a,"AcroCyte Therapeutics, Inc.",,2026-03
"ACROSSER Technology Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,Q0702,"ACROSSER,EverFocus","Automated & Industrial Controller Module,Embedded Processor,Industrial Computer,Embedded Products,Other Networking,IIoT Platform",
Actasys LTD,TaiNEX 2,InnoVEX,S0905,,,2026-03
"Actdesign Co., Ltd",,,,,,2026-03
"ACTECK TECHNOLOGY CO., LTD",TaiNEX 2,InnoVEX,S1417,,,2026-03
"ACTECK TECHNOLOGY CO., LTD",TaiNEX 2,Consumer Electronic Accessories,P0425,,Touch Screen Monitor & Panel,2026-03
"ACTION STAR TECHNOLOGY CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q1006,,Other Computer Peripherals,2026-03
"Adapter Technology Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0529,Adapter Tech.,"Switching Power Supply,AC / DC Adapter,Computer Power Supply",
"ADATA Technology Co., Ltd.",TaiNEX 1,System Integration Solution,L0617a,"ADATA,XPG",Laptop Computer,2026-03
ADDER TECHNOLOGY LTD,TaiNEX 1,Advanced Communication & Networking,K0017,ADDER,"Other Networking,Decoder & Encoder",
Adesso Technology Inc.,TaiNEX 2,Consumer Electronic Accessories,Q1220,"ADESSO,MYGEKOGEAR,GYRATION",PC Keyboard,
ADLINK TECHNOLOGY INC.,TaiNEX 2,Industrial IoT & Embedded Systems,P0425a,ADLINK,Industrial Computer,2026-03
Administration for Digital Industries,TaiNEX 2,InnoVEX,S0524,,"Artificial Intelligence & Big Data,Generative AI & LLM",2026-03
"ADOMAX TECHNOLOGY CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0915,,Mouse,2026-03
Advanced Acoustic Technology Corporation,TWTC Hall 1,TechXperience,D0834,AATC,PC Speaker,2026-03
Advanced Materials Co. |Ltd.,TaiNEX 2,InnoVEX,S1014,,,2026-03
"Advantech Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0603a,研華股份有限公司,"Server,Industrial Computer,Image Recognition Service / Device",2026-03
"Advantech Co., Ltd.",TWTC Hall 1,Robotics,A0618,,,2026-03
Aeolus Robotics Company,TWTC Hall 1,Robotics,A1116,,Robot,2026-03
"Aeromax Technology Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K1405,AEROMAX,"Wireless Audio Receiver, Adapter & Transmitter,Power Bank",2026-03
AFOX,TaiNEX 2,Consumer Electronic Accessories,Q0710a,,"PC Cooling & Fan,Graphics Card",2026-03
"AGI TECHNOLOGY CO., LTD.",TaiNEX 1,Gaming,L1117a,AGi,"Solid State Drive (SSD),DRAM",2026-03
Ahoku Electronic Company,TaiNEX 1,Components & Advanced Power Tech,I0018,AHOKU,"Plug,Socket,Switching Power Supply,AC / DC Adapter,Power Converter",
AI TIMES INC,TWTC Hall 1,TechXperience,A0325a,,Head & Bluetooth Earphone,2026-03
AIC Inc.,TaiNEX 1,System Integration Solution,N1106,AIC,"Server,Industrial Motherboard",2026-03
AIDATA CORP.LTD.,TaiNEX 2,Consumer Electronic Accessories,Q1323,aidata,"Laptop Bag,Handheld Bag & Case,Handheld Holder,Other Mobile Phone & Tablet PC Accessories,TV Mount,Other Computer Peripherals",2026-03
AIFA TECHNOLOGY CORP.,TaiNEX 1,Advanced Communication & Networking,J1233,AIFA TECH,,2026-03
aiFree Interactive Technology Co. | Ltd.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
AII Max Technology,TaiNEX 1,System Integration Solution,M1111a,,,2026-03
AIKUN(CHINA) ELECTRONICS COMPANY LIMITED,TaiNEX 1,Components & Advanced Power Tech,I1304,AIKUN,"PC Keyboard,Wireless Charger",2026-03
AILEEN AGRITECH BIO CO. | LTD.,TaiNEX 2,InnoVEX,S0923,,,2026-03
AIO Europe BV,TaiNEX 1,International,N0325a,AIO,"E-paper Display,Computer Case,Computer Power Supply,PC Cooling & Fan,Other Computer Components & Parts,Bluetooth Keyboard & Mouse,Liquid Cooling System",2026-03
"Aiplux Technology Co., Ltd.",TaiNEX 2,InnoVEX,S0311a,,,2026-03
AiQ Smart Clothing Inc.,TaiNEX 1,System Integration Solution,N1213a,AiQ,,2026-03
AirLive Technology Corporation,TaiNEX 1,Advanced Communication & Networking,K0932,AirLive,"Router,Gateway,Wireless AP / Bridge,Network Switch,IP Camera,Cloud Computing & IT Services",2026-03
Airoha Technology Corp.,TWTC Hall 1,ePaper Pavilion,D0229,,System on Chip(SOC),
AItewan BioMedical Technology Inc.,TaiNEX 2,InnoVEX,S0923,,,2026-03
Akasa Europe Ltd.,TaiNEX 1,International,N0329a,akasa,"Heat Sink & Pipe,Thermal Adhesive & Grease,Embedded Products,Bar Code Inventory Machine,PC Cooling & Fan,Liquid Cooling System ,Gaming Accessories",
