date,title,category,one_line
2011-02,IBM Watson wins Jeopardy,model,"A question-answering machine beats two human champions and becomes the face of AI in medicine before it ever touched a patient."
2015-04,IBM launches Watson Health,product,"IBM stands up a health unit and buys its way in for about $4bn [reported], promising Watson would read oncology like a specialist."
2016-02,DeepMind Streams goes live at the Royal Free,product,"An AI-branded kidney-injury alert app ships to a London hospital on a data-sharing deal covering about 1.6m patient records [reported]."
2017-07,UK regulator rules the Streams data deal broke the law,regulation,"The privacy regulator finds the hospital handed over patient data unlawfully; no fine, but the first shot across the bow on health-data consent [reported]."
2018-04,"FDA clears IDx-DR, the first autonomous diagnostic AI",regulation,"De Novo authorization for a tool that reads eyes for diabetic retinopathy with no doctor in the loop, the first AI allowed to diagnose on its own [disclosed]."
2018-12,AlphaFold wins CASP13,model,"DeepMind's first protein-folding model tops the field's benchmark contest, a strong result that still leaves the problem unsolved."
2020-04,Nuance ships Dragon Ambient eXperience (DAX),product,"The ambient-scribe idea, an AI that listens to the visit and writes the note, goes commercial and defines the category doctors would actually adopt [reported]."
2020-09,Viz.ai wins the first AI add-on payment from Medicare,reimbursement,"CMS grants a stroke-triage tool a temporary New Technology Add-on Payment of up to $1,040 per use, the first time a US public payer pays extra for AI [disclosed]."
2020-11,AlphaFold2 solves protein folding at CASP14,model,"The second model scores about 92 on a 100-point accuracy test [disclosed], and the contest organizers call a 50-year grand-challenge effectively solved."
2021-01,FDA publishes its AI/ML Action Plan,regulation,"The regulator lays out how it will oversee learning software and floats letting devices update under a pre-agreed plan instead of re-filing each change [disclosed]."
2021-07,The AlphaFold protein-structure database opens,model,"DeepMind and a public genomics lab release structures for a first tranche of proteins for free [disclosed], later scaling past 200m and turning a moat into a commons."
2021-09,AMA creates an AI taxonomy for billing codes,reimbursement,"The body that writes US procedure codes adds a framework sorting AI into assistive, augmentative, and autonomous, the plumbing before anything gets paid [disclosed]."
2021-11,Isomorphic Labs is founded,deal,"Alphabet spins AlphaFold's drug ambitions into a standalone company, betting the protein breakthrough can be turned into medicines."
2022-06,IBM sells Watson Health for parts,failure,"The oncology-AI flagship that cost about $4bn to build is sold to a private-equity firm for about $1.07bn [reported] and renamed, closing the Watson-in-medicine story."
2022-11,ChatGPT is released,model,"A general-purpose chatbot goes public and, within weeks, clinicians start using it to draft notes and answer questions it was never approved for."
2023-02,ChatGPT is shown to nearly pass the US medical licensing exam,model,"A published study puts the model at or near the ~60% passing line across all three exam steps [disclosed], the moment clinical use stopped being hypothetical."
2023-08,Babylon Health files for bankruptcy,failure,"The AI-symptom-checker unicorn, worth about $2bn at its 2021 SPAC listing [reported], liquidates, the clearest sign that an AI demo is not a business."
2024-01,Isomorphic signs Lilly and Novartis for up to ~$3bn,deal,"Two pharma deals with about $83m paid upfront against roughly $2.9bn in milestones [disclosed], the template for how AI-drug deals are really structured: cheap staged bets."
2024-01,FFR-CT graduates to a permanent national billing code,reimbursement,"A heart-blood-flow AI collapses four temporary codes into one permanent Category I code effective this year [disclosed], the rare AI tool with a durable payment path."
2024-05,AlphaFold3 is released,model,"The third model extends beyond proteins to how they bind DNA, drugs, and other molecules, moving closer to the chemistry that matters for medicines."
2024-06,Tempus AI goes public,ipo,"The multi-data diagnostics-and-data platform lists on Nasdaq at $37 a share, raising about $410m [disclosed], the first big pure-play healthcare-AI IPO."
2024-10,AlphaFold's creators win the Nobel Prize in Chemistry,model,"DeepMind's Hassabis and Jumper share the prize [disclosed], the field's scientific high-water mark, and a reminder the science ran years ahead of the business."
2024-11,Recursion completes its merger with Exscientia,deal,"Two of the loudest AI-drug names combine in an all-stock deal valuing Exscientia at about $650m [reported], consolidation driven by thin pipelines, not strength."
2025-04,The Health Tech Investment Act is introduced,policy,"A Senate bill (S.1399) would create a defined Medicare payment category for algorithm-based services with at least five years of separate pay [disclosed]; that it is needed at all is the tell there is no durable AI payment path today."
2025-06,Caris Life Sciences goes public,ipo,"The precision-oncology lab raises about $494m on Nasdaq and pops on day one [disclosed], the second major diagnostics-data IPO in a year."
2026-02,Epic ships its own ambient AI scribe into the chart,product,"The dominant records system builds note-writing straight into the workflow at a rumored ~$80 per provider per month [sell-side], and the landlord becomes the competitor to the scribe startups renting its rails."
