ticker,company,lead_underwriters,underwriter_quality_score,top_tier_underwriter_count,syndicate_count_estimate,liquidity_support_proxy,market_maker_data_policy,known_by
SPCX,SpaceX,"Goldman Sachs, Morgan Stanley; large global syndicate",5.0,5,3,Morgan Stanley stabilization agent per S-1/A; full bookrunner group as liquidity-support proxy,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
V,Visa,"J.P. Morgan, Goldman Sachs, BofA",4.5,3,3,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
META,Meta/Facebook,"Morgan Stanley, J.P. Morgan, Goldman Sachs",4.5,3,3,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
BABA,Alibaba,"Credit Suisse, Deutsche Bank, Goldman Sachs, J.P. Morgan, Morgan Stanley, Citi",5.0,4,6,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
UBER,Uber,"Morgan Stanley, Goldman Sachs, BofA",4.5,3,3,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
ABNB,Airbnb,"Morgan Stanley, Goldman Sachs",3.6,2,2,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
ARM,Arm,"Barclays, Goldman Sachs, J.P. Morgan, Mizuho",3.8,2,4,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
SNOW,Snowflake,"Goldman Sachs, Morgan Stanley, J.P. Morgan",4.5,3,3,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
DASH,DoorDash,"Goldman Sachs, J.P. Morgan",3.6,2,2,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
RIVN,Rivian,"Morgan Stanley, Goldman Sachs, J.P. Morgan",4.5,3,3,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
CRWD,CrowdStrike,"Goldman Sachs, J.P. Morgan, BofA, Barclays",4.6,3,4,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
DDOG,Datadog,"Morgan Stanley, Goldman Sachs, J.P. Morgan",4.5,3,3,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
COIN,Coinbase,,1.0,0,0,No IPO underwriter/stabilization proxy; direct listing,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
RDDT,Reddit,"Morgan Stanley, Goldman Sachs, J.P. Morgan",4.5,3,3,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
CAVA,Cava,"J.P. Morgan, Jefferies, Citi",3.7,2,3,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
CART,Instacart/Maplebear,"Goldman Sachs, J.P. Morgan",3.6,2,2,Disclosed lead-left/bookrunner group,Market-maker identities are not used pre-listing unless publicly disclosed at symbol level.,IPO date / prospectus
