ticker,company,management_quality,business_quality,ipo_quality,governance_quality,market_setup,weighted_quality_score,note,business_quality_read,known_by
SPCX,SpaceX,4.5,4.0,4.5,1.5,3.0,3.625,"Elite execution and underwriting; penalized for control, related parties, AI losses and unlock overhang.","Elite execution and underwriting; penalized for control, related parties, AI losses and unlock overhang.",IPO date / prospectus and public business profile
V,Visa,4.5,5.0,5.0,4.0,4.5,4.65,Best-in-class scaled network IPO; cleaner governance and profitability than SpaceX.,Best-in-class scaled network IPO; cleaner governance and profitability than SpaceX.,IPO date / prospectus and public business profile
CRWD,CrowdStrike,4.5,4.5,4.0,4.0,4.0,4.2250000000000005,Founder-led cybersecurity compounder with credible underwriting and strong public-market quality.,Founder-led cybersecurity compounder with credible underwriting and strong public-market quality.,IPO date / prospectus and public business profile
DDOG,Datadog,4.5,4.5,4.0,4.0,4.0,4.2250000000000005,High-quality founder-led software IPO with good governance and durable growth.,High-quality founder-led software IPO with good governance and durable growth.,IPO date / prospectus and public business profile
ABNB,Airbnb,4.5,4.5,4.5,3.5,4.0,4.25,Founder-led platform with brand quality and strong IPO execution; dual-class governance but less extreme than SpaceX.,Founder-led platform with brand quality and strong IPO execution; dual-class governance but less extreme than SpaceX.,IPO date / prospectus and public business profile
META,Meta/Facebook,4.0,5.0,5.0,2.5,4.0,4.225,Best scale and founder-control comp; weak early trading shows scarcity does not immunize valuation.,Best scale and founder-control comp; weak early trading shows scarcity does not immunize valuation.,IPO date / prospectus and public business profile
ARM,Arm,4.0,4.5,4.5,2.5,4.0,4.0,High-quality tech asset with parent-control overhang; useful float-scarcity comp.,High-quality tech asset with parent-control overhang; useful float-scarcity comp.,IPO date / prospectus and public business profile
UBER,Uber,3.5,4.0,4.0,3.5,3.5,3.725,Large institutional IPO; useful caution on valuation and post-listing profitability questions.,Large institutional IPO; useful caution on valuation and post-listing profitability questions.,IPO date / prospectus and public business profile
SNOW,Snowflake,4.0,4.0,4.5,3.5,3.0,3.825,"Great company, extreme valuation at IPO; useful for pop/fade and valuation discipline.","Great company, extreme valuation at IPO; useful for pop/fade and valuation discipline.",IPO date / prospectus and public business profile
DASH,DoorDash,4.0,3.5,4.5,3.0,3.0,3.625,Founder-led but cyclically expensive IPO; useful first-6-month caution.,Founder-led but cyclically expensive IPO; useful first-6-month caution.,IPO date / prospectus and public business profile
RIVN,Rivian,3.0,2.5,4.0,3.0,2.0,2.8750000000000004,Institutional-scale but capex-heavy story IPO; useful negative comp for AI/Starship capex risk.,Institutional-scale but capex-heavy story IPO; useful negative comp for AI/Starship capex risk.,IPO date / prospectus and public business profile
BABA,Alibaba,3.5,4.0,5.0,1.5,3.0,3.5250000000000004,Mega IPO liquidity comp; not a clean U.S. governance comp due ADR/China/VIE issues.,Mega IPO liquidity comp; not a clean U.S. governance comp due ADR/China/VIE issues.,IPO date / prospectus and public business profile
COIN,Coinbase,4.0,3.5,1.0,3.0,2.5,2.825,"Large liquid listing, but direct listing with no primary IPO proceeds or lead underwriter.","Large liquid listing, but direct listing with no primary IPO proceeds or lead underwriter.",IPO date / prospectus and public business profile
