source,period,claim_or_data,how_used,url
RIA equity-supply article,2026-06,Equity supply waves can precede or coincide with drawdowns; 2026 may be a record combined IPO plus lock-up supply year.,Used as hypothesis framing only; drawdowns are independently recalculated.,https://realinvestmentadvice.com/resources/blog/equity-supply-surge-what-historically-comes-next/
RIA dot-com case,2000-2002,Dot-com issuance advanced into March 2000; S&P fell about 49% into October 2002 and Nasdaq about 78%.,Used as a case row; S&P date and drawdown are recalculated from closes.,https://realinvestmentadvice.com/resources/blog/equity-supply-surge-what-historically-comes-next/
RIA 2008 correction,2008-2009,"The 2008 issuance spike was rescue capital, not insider greed; crash caused issuance.",Used as a false-positive/correction row.,https://realinvestmentadvice.com/resources/blog/equity-supply-surge-what-historically-comes-next/
RIA SPAC/IPO case,2020-2022,More than 600 SPAC listings and a record IPO calendar preceded the January-October 2022 drawdown; SPAC/deSPAC damage exceeded the index drawdown.,Used as a historical case row and new-issue-damage comparison.,https://realinvestmentadvice.com/resources/blog/equity-supply-surge-what-historically-comes-next/
Ritter Table 8,1960-2025,"Number of offerings, average first-day returns and gross proceeds of IPOs.",Used as long annual IPO history; counts exclude many noisy categories and are cleaner than broad SEC totals.,https://site.warrington.ufl.edu/ritter/files/IPO-Statistics.pdf
SEC IPO statistics,2000-2025,"SEC reports 374 total IPOs and $70.1B proceeds in 2025 across corporate, SPAC and fund categories.",Used as a broad-definition cross-check; not mixed into the Ritter core sample.,https://www.sec.gov/data-research/statistics-data-visualizations/initial-public-offerings-ipos
Robert Shiller / multpl,1960-2026,CAPE and trailing P/E annual valuation proxy.,"Used as public long-history valuation proxy. Yale host was unavailable during implementation, so multpl table is the build source.",https://www.multpl.com/shiller-pe/table/by-year
History of Market,1990-2026,"Forward P/E, quarterly observations back to 1990.",Used as forward-multiple appendix; 2026 is a live valuation-only row.,https://historyofmarket.com/api/sp500/forward-pe.json
Baker and Wurgler,1928-1997,Equity share in new issues predicts lower stock returns in their academic sample.,Used as academic benchmark; this study does not re-estimate the debt/equity issuance-share model.,https://onlinelibrary.wiley.com/doi/10.1111/0022-1082.00285
Yahoo Finance ^GSPC,1959-2026,Daily S&P 500 closes.,Used to reconstruct drawdown from prior peak and forward S&P 500 returns.,https://finance.yahoo.com/quote/%5EGSPC/
