video_id,year,channel,kind,title,url
eNDBZmxu47g,2024,ASUS,company,360° Booth Tour Video | ASUS COMPUTEX 2024,https://www.youtube.com/watch?v=eNDBZmxu47g
3gPSsrskXa4,2024,ASUS,company,ASUS Booth Highlight in 1 Minute | COMPUTEX 2024,https://www.youtube.com/watch?v=3gPSsrskXa4
lqHWrbKZWPs,2024,Delta Official Channel,company,Discovering Delta’s Cloud to Edge Smart Green Solutions for AI @ COMPUTEX 2024,https://www.youtube.com/watch?v=lqHWrbKZWPs
2LB1eyBjAM4,2024,Intel Newsroom,company,Highlights: Enabling AI Everywhere at Computex 2024,https://www.youtube.com/watch?v=2LB1eyBjAM4
wxg4PM3p9LQ,2024,Intel Technology,company,Intel x Gigabyte at Computex 2024: Next-gen Aorus and Aero Boards | Talking Tech | Intel Technology,https://www.youtube.com/watch?v=wxg4PM3p9LQ
1wg_nRU8hhA,2024,MSI Gaming,company,Explore MSI's Innovations at Computex 2024 AI & High-Tech Showcase | MSI,https://www.youtube.com/watch?v=1wg_nRU8hhA
dsj-JH_KGQE,2024,NVIDIA,company,NVIDIA at COMPUTEX 2024 Highlights,https://www.youtube.com/watch?v=dsj-JH_KGQE
eMXzq1-he7g,2024,NVIDIA,company,NVIDIA at COMPUTEX 2024 Partner Highlights,https://www.youtube.com/watch?v=eMXzq1-he7g
GCWmPu_votw,2024,Supermicro,company,COMPUTEX 2024 CEO Keynote Highlight!,https://www.youtube.com/watch?v=GCWmPu_votw
QUAwXdHPg6I,2024,Supermicro,company,Highlights from the COMPUTEX 2024 CEO Keynote! #SupermicroAtComputex,https://www.youtube.com/watch?v=QUAwXdHPg6I
a0MjYG0LSEw,2024,Archetype Origins,third-party,"Computex 2024 in a nutshell [PC speed building, Lian Li, HYTE booth]",https://www.youtube.com/watch?v=a0MjYG0LSEw
Pzm2INwVRdg,2024,Charbax,third-party,"ROG Ally X and ROG Booth Tour at Computex 2024, with AMD Ryzen Extreme, up to 24GB of LPDDR5X RAM",https://www.youtube.com/watch?v=Pzm2INwVRdg
0hNYuxAVMOw,2024,CrazyTechLab,third-party,PALIT Computex 2024 Booth Tour: INSANE GPU DEVELOPMENTS!,https://www.youtube.com/watch?v=0hNYuxAVMOw
3qjX7fM6IXw,2024,DaPoets,third-party,Mike Petereyns Stunning PC Builds in the G.SKILL booth at Computex 2024 Taipei Taiwan,https://www.youtube.com/watch?v=3qjX7fM6IXw
rcK976I0EuE,2024,DaPoets,third-party,Der8auer & DaPoets at Computex 2024,https://www.youtube.com/watch?v=rcK976I0EuE
pmduK9gU4FQ,2024,der8auer EN,third-party,"Matrix-LED Fans, 3D-Printed Radiators and other Obscure Highlights from Computex 2024",https://www.youtube.com/watch?v=pmduK9gU4FQ
FbmBJYDLqpY,2024,der8auer EN,third-party,"DDR5 Modules with 10600 MT and a $ 10,000 LN2 Cooler - G.Skill Computex 2024",https://www.youtube.com/watch?v=FbmBJYDLqpY
btRuwU1DyOE,2024,der8auer EN,third-party,ASUS shows the possible Future of AIO Cooling - Computex 2024,https://www.youtube.com/watch?v=btRuwU1DyOE
f1dThkPW6ac,2024,der8auer EN,third-party,Incredible new Case and questionable Water Cooling Fittings - Phanteks Computex 2024,https://www.youtube.com/watch?v=f1dThkPW6ac
grprYhBvRC4,2024,der8auer EN,third-party,DeepCool will possibly offer the Strongest Air Cooler in the Future - Computex 2024,https://www.youtube.com/watch?v=grprYhBvRC4
Sq3rZ2UNmpU,2024,der8auer EN,third-party,NZXT shows the beautiful H7 Case and new Fans - Computex 2024,https://www.youtube.com/watch?v=Sq3rZ2UNmpU
A4SiSpBwPO0,2024,der8auer EN,third-party,The Most Experimental SSD Cooling Concept in Computex 2024 - MSI,https://www.youtube.com/watch?v=A4SiSpBwPO0
eltDIwn0aQ8,2024,Gamers Nexus,third-party,Best PC Cases for 2024 So Far: New Designs & Round-Up (Computex),https://www.youtube.com/watch?v=eltDIwn0aQ8
n36Yp32pHME,2024,Gamers Nexus,third-party,"New Montech King 65 Pro, King 95 Mega, Sky 3 PC Cases | Computex 2024",https://www.youtube.com/watch?v=n36Yp32pHME
ayULjm2qjfU,2024,Hardware Busters,third-party,Computex 2024 – The Highlights!,https://www.youtube.com/watch?v=ayULjm2qjfU
gD92NekmcHA,2024,Howie Lim,third-party,HIGHLIGHTS - NVIDIA CEO Jensen Huang Reveals Revolutionary AI Chip at COMPUTEX 2024 (Highlights),https://www.youtube.com/watch?v=gD92NekmcHA
PHuHZhB05Fo,2024,Insomnia,third-party,MSI Booth Tour - Computex 2024,https://www.youtube.com/watch?v=PHuHZhB05Fo
fIIKoZ3RMhI,2024,Kelly International Corporation,third-party,Computex 2024 highlights,https://www.youtube.com/watch?v=fIIKoZ3RMhI
