ticker,name,group,structure,exchange,theme,top_private_holdings,market_price,market_price_currency,market_price_date,nav_per_share,nav_currency,nav_date,price_nav_multiple,premium_pct,nav_staleness_days,scarce_private_names,price_source_url,nav_source_url,notes
BOT,RoboStrategy,Pure public venture/private access,Closed-end investment company,Nasdaq,Robotics and physical AI,Figure AI; Dyna; Apptronik; Dexmate; Standard Bots,37.49,USD,2026-06-05,7.31,USD,2026-03-31,5.1286,4.1286,69,Figure AI; Apptronik; Dyna,data/bot_massive_price_nav.csv,https://www.sec.gov/Archives/edgar/data/2081119/000121390026052329/ea0287946-02_424b3.htm,Latest market price is the study's published Massive daily close.
VCX,Fundrise Innovation Fund,Pure public venture/private access,NYSE-listed public venture closed-end fund,NYSE,Late-stage private AI and technology,Anthropic; Databricks; OpenAI; Anduril; Ramp; SpaceX,135.00,USD,2026-06-08,18.97,USD,2026-03-31,7.1165,6.1165,69,Anthropic; Databricks; OpenAI; SpaceX; Anduril,https://upstox.com/us-stocks/vcx-share-price/,https://www.stocktitan.net/sec-filings/VCX/n-csr-a-fundrise-innovation-fund-llc-sec-filing-177460d2b328.html,Closest AI/private-access analogue; very high premium with stale quarterly NAV.
DXYZ,Destiny Tech100,Pure public venture/private access,Non-diversified closed-end management investment company,NYSE,Top private venture-backed technology companies,SpaceX; Anthropic; OpenAI; CHAOS Industries; Hermeus,41.79,USD,2026-06-05,24.56,USD,2026-03-31,1.7015,0.7015,69,SpaceX; Anthropic; OpenAI,https://stockanalysis.com/stocks/dxyz/,https://www.sec.gov/Archives/edgar/data/1843974/000157587226000359/dxyz102_424b5.htm,Reported multiple uses current public price rather than the older SEC filing price.
RVI,Robinhood Ventures Fund I,Pure public venture/private access,Non-diversified closed-end fund,NYSE,Concentrated frontier private companies,Databricks; Revolut; Mercor; Airwallex; Boom Supersonic; ElevenLabs; Stripe,41.70,USD,2026-06-08,24.05,USD,2026-05-29,1.7339,0.7339,10,Databricks; Stripe; OpenAI,https://upstox.com/us-stocks/rvi-share-price/,https://cefdata.com/funds/Rvi,OpenAI was announced after quarter-end; this is access evidence more than Q1 NAV evidence.
SSSS,SuRo Capital,Venture/private-company public wrapper,Public BDC / venture capital wrapper,Nasdaq,Late-stage venture and AI infrastructure,WHOOP; OpenAI vehicle; VAST Data; TensorWave SPV; ClickHouse,13.88,USD,2026-06-08,14.24,USD,2026-03-31,0.9747,-0.0253,69,OpenAI; VAST Data; TensorWave; ClickHouse,https://stockanalysis.com/stocks/ssss/,https://www.globenewswire.com/news-release/2026/05/05/3288229/0/en/SuRo-Capital-Corp-Reports-First-Quarter-2026-Financial-Results.html,Longer-running public venture wrapper; trades close to NAV rather than at a BOT/VCX style premium.
SMT,Scottish Mortgage Investment Trust,UK investment trust with popular private holdings,UK investment trust,LSE,Global growth with large private-company sleeve,SpaceX; ByteDance; Anthropic,1510.00,GBX,2026-06-04,1502.67,GBX,2026-06-04,1.0049,0.0049,4,SpaceX; Anthropic,https://www.theaic.co.uk/companydata/scottish-mortgage-investment-trust,https://www.theaic.co.uk/companydata/scottish-mortgage-investment-trust,AIC reported discount/premium used.
USA,Baillie Gifford US Growth,UK investment trust with popular private holdings,UK investment trust,LSE,US public and private growth companies,SpaceX; Stripe; Databricks,361.00,GBX,2026-06-04,346.96,GBX,2026-06-04,1.0405,0.0405,4,SpaceX; Stripe; Databricks,https://www.theaic.co.uk/companydata/baillie-gifford-us-growth,https://www.theaic.co.uk/companydata/baillie-gifford-us-growth,AIC reported discount/premium used.
MNTN/MNTS,Schiehallion Fund,UK investment trust with popular private holdings,UK investment trust,LSE,Late-stage private growth companies,Bending Spoons; SpaceX; ByteDance; Wayve; Databricks; Stripe; Anthropic,2.23,USD,2026-06-04,1.97,USD,2026-06-04,1.1318,0.1318,4,SpaceX; Databricks; Stripe; Anthropic,https://www.theaic.co.uk/companydata/schiehallion-fund,https://www.theaic.co.uk/companydata/schiehallion-fund,AIC reported discount/premium used; MNTS is the sterling quote.
SSIT,Seraphim Space Investment Trust,UK investment trust with popular private holdings,UK investment trust,LSE,Private space technology companies,Iceye; All.Space; Hawkeye 360; D-Orbit; Xona Space Systems,187.00,GBX,2026-06-04,177.63,GBX,2026-06-04,1.0550,0.0550,4,Private space companies,https://www.theaic.co.uk/companydata/seraphim-space-investment-trust,https://www.theaic.co.uk/companydata/seraphim-space-investment-trust,AIC reported discount/premium used.
CHRY,Chrysalis Investments,UK investment trust with popular private holdings,UK investment trust,LSE,Unquoted and listed growth companies,Starling; Smart Pension; Klarna; wefox; Brandtech,79.30,GBX,2026-06-04,137.27,GBX,2026-06-04,0.5711,-0.4289,4,Klarna; Starling,https://www.theaic.co.uk/companydata/chrysalis-investments,https://www.theaic.co.uk/companydata/chrysalis-investments,AIC reported discount/premium used; included as the negative private-growth counterexample.
CEFA Diversified Equity,Broad CEF baseline,Baseline,Broad US closed-end fund model basket,US CEF universe,Diversified equity closed-end funds,Not applicable,0.8983,INDEX,2026-06-05,1.00,INDEX,2026-06-05,0.8983,-0.1017,,Not applicable,https://legacy.cefdata.com/portfoliocomp/,https://legacy.cefdata.com/portfoliocomp/,CEFA model portfolio discount is used as a broad ordinary-CEF baseline.
AIC Growth Capital sector,UK private-growth baseline,Baseline,AIC sector weighted average,LSE / AIC sector,Growth capital investment companies,Not applicable,0.8376,INDEX,2026-03-31,1.00,INDEX,2026-03-31,0.8376,-0.1624,,Not applicable,https://www.theaic.co.uk/aic/find-compare-investment-companies/advanced-compare,https://www.theaic.co.uk/aic/find-compare-investment-companies/advanced-compare,AIC Growth Capital sector average discount from end-March 2026 advanced compare.
