company,year,announcement,category,ship_quarter,availability,quote,verified,video_id
Arm,2021,Armv9 architecture,platform,,announced,recently we announced arm v9 the next major milestone for the arm architecture for the decade ahead arm v9 will apply across all our cpus from those smallest microcontrollers to the largest server-based designs,no,esAGRF0yiBI
Arm,2021,Arm Confidential Compute Architecture,platform,,roadmap,the rmv9 roadmap introduces the arm confidential compute architecture this technology shields portion of code and data from access or modification while in use even from privileged software by performing computation in a hardware-based secure environment,no,esAGRF0yiBI
Arm,2021,Memory Tagging Extensions in first-generation Armv9 CPUs,software,2022,announced,support of memory tagging extensions are an integral part of the first generation of arm v9 cpus available in devices next year,no,esAGRF0yiBI
Arm,2021,Arm Total Compute solutions,platform,,announced,now last week we launched our latest manifestation of total compute solutions and our first cortex cpu is on arm v9,no,esAGRF0yiBI
Arm,2021,Cortex-X2 CPU,cpu,,announced,cortec x2 is our first v9 flagship cpu for ultimate performance from the cortex custom x program x2 delivers another 16 improvement performance compared to cortex x1 running on the same process at the same frequency,no,esAGRF0yiBI
Arm,2021,Cortex-A710 CPU,cpu,,announced,cortex a710 it's our first v9 big cpu with a remarkable 30 energy efficiency gain over our previous generation cortex a78,no,esAGRF0yiBI
Arm,2021,Cortex-A510 CPU,cpu,,announced,now our first new little core in four years is the cortex a510 which delivers an impressive 35 performance improvement compared to the previous generation cortex 855 making it our most capable little core ever,no,esAGRF0yiBI
Arm,2021,Scalable Dynamic Shared Unit for Armv9 CPU clusters,platform,,announced,for uncompromised performance the v9 cpu cluster is now supported by a brand new scalable dynamic shared unit this allows a maximum of eight cortex x2 cores while still staying true to arm's dna and that's efficiency,no,esAGRF0yiBI
Arm,2021,Mali-G710 GPU,gpu,,announced,mali g710 is the highest performing gpu from arm ever aimed at flagship and premium smartphones in the growing chromebook market it delivers a 20 performance improvement and 35 ml uplift over the previous generation,no,esAGRF0yiBI
Arm,2021,Mali-G510 and Mali-G310 GPUs,gpu,,announced,mali g510 and mali g310 bring new features and technologies to the performance and ultra efficient segments powering premium graphic experiences from a wide range of devices from digital tvs and subject boxes through vr ar and wearables,no,esAGRF0yiBI
Arm,2021,Neoverse V1 platform,platform,,announced,neoverse v1 is the first in a new performance computing tier delivering significant uplifts in vector and machine learning along with high cpu performance while still providing the soc design flexibility they require,no,esAGRF0yiBI
Arm,2021,Neoverse N2 platform,platform,,announced,the neoverse n2 platform is the first based on the arm v9 with improvements to security power efficiency and performance it delivers 40 percent higher single threaded performance compared to n1 at the same level of power and area efficiency,no,esAGRF0yiBI
Arm,2021,SVE2 in Neoverse N2,software,,announced,now neoverse n2 is also the first platform to feature sve2 an rmv9 feature that drives large improvements in cloud to edge performance efficiency for a broader set of use cases like machine learning digital signal processing multimedia and 5g systems,no,esAGRF0yiBI
Arm,2021,NVIDIA Grace Arm-based data center CPU,cpu,,announced,grace is nvidia's first arm-based data center cpu it will deliver 10x to performance of today's fastest server running some of the most complex high-performance computing workloads,no,esAGRF0yiBI
Arm,2021,NVIDIA Arm HPC Developer Kit,server,,announced,and finally a new nvidia arm hpc developer kit this kit includes an ampere ultra cpu which contains 80 neoverse cores running up to 3.3 gigahertz dual nvidia a100 gpus each of those delivering 312 teraflops of floating point deep learning ml performance and two nvidia bluefield 2 dpus,no,esAGRF0yiBI
Arm,2021,MediaTek-NVIDIA AI thin-and-light laptop reference platform,partnership,,announced,our long-time partner mediatek have been delivering specialized processing solutions for many years in the mobile space and recently they partnered with nvidia to announce a specialized reference platform for an ai enabled thin and light laptop,no,esAGRF0yiBI
Arm,2021,Sunplus autonomous robotic industrial SoC,accelerator,,announced,sunplus is developing an soc that combines an arm cortex acpu molle gpu and our ethos neural processors this soc has been designed specifically for autonomous robotic industrial applications,no,esAGRF0yiBI
