event_year,company,ticker,announcement,category,summary,key_number,ship_quarter,availability,quote,confidence,verdict,ticker_ok,number_ok,audit_note,series,lang,n_sources,video_url
2024,Acer,2353.TW,Swift 14 AI,platform,"Acer highlighted the Swift 14 AI based on Qualcomm Snapdragon X Elite, delivering Copilot+ PC AI experiences such as Recall, Cocreator, and Live Captions. The device’s NPU is stated at up to 45 TOPS, making it part of the first wave of Windows AI PCs.",,,announced,the device I want to talk about today is Swift 14 AI,0.9,real_new,True,True,Acer Copilot+ PC product discussed by name,computour,en,2,https://www.youtube.com/watch?v=WMFnVOH8mEc
2024,Acer,2353.TW,Acer SpatialLabs Eyes stereo camera,platform,Acer announced a new SpatialLabs Eyes stereo camera for consumer 3D content capture. It can create 3D photos and videos and can also be used as a webcam for 3D video calls or 3D YouTube content.,,,announced,we also made announcement of our new stereo camera which is the Acer special lives eyes,0.88,real_new,True,True,New Acer stereo camera explicitly announced.,computour,en,2,https://www.youtube.com/watch?v=WMFnVOH8mEc
2024,AIT,,AIT data-hosting optimization solution,software,AIT presented a sustainability-focused optimization methodology and its own data-hosting optimization solution. The offering is meant to reduce cost and carbon emissions in enterprise processes and software infrastructure.,,,announced,we have developed our own solution for data house thing optimiz optimiz the the idea is really to work on the deeper part and really reduce cost and also carbon emission with the data hosting,0.68,real_new,True,True,Developed data-hosting optimization solution stated.,keynote_forum,en,1,https://www.youtube.com/watch?v=M-3vdrCMENg
2024,AMD,AMD,Ryzen AI 300 Series mobile processors,cpu,"AMD announced its third-generation Ryzen AI mobile processors, code-named Strix, for ultrathin and premium AI notebooks. The chips combine Zen 5 CPU cores, RDNA 3.5 graphics, and an XDNA 2 NPU for Copilot+ PC-class AI performance.",50 tops,2024Q3,announced,we have a new npu that delivers an industry-leading 50 tops we're going to talk about tops a lot uh today 50 tops of compute that can power new AI experiences at very low power,0.97,real_new,True,True,New Ryzen AI NPU claim supported,keynote,en,1,https://www.youtube.com/watch?v=7NzvVcQjF6o
2024,AMD,AMD,AM5 platform support through 2027 and beyond,roadmap,AMD committed to extending its AM5 desktop platform support window through 2027 and beyond. This is a concrete platform-longevity commitment intended to encourage customer and OEM investment in the AM5 ecosystem.,2027 and Beyond,,roadmap,we're taking this exact same strategy with socket am5 which we now plan on supporting through 2027 and Beyond,0.97,real_new,True,True,Concrete AM5 support extension announced,keynote_forum,en,1,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,Ryzen AI 300 Series / third-gen Ryzen AI,npu,"AMD announced its third-generation Ryzen AI notebook processors, also referred to as the Ryzen AI 300 Series and Strix, for ultra-thin and premium notebooks. The chip combines Zen 5 CPU cores, RDNA 3.5 graphics, and an XDNA 2 NPU aimed at Copilot+ PCs.",50 tops,2024Q3,announced,we have a new npu that delivers an industry-leading 50 tops,0.97,real_new,True,True,Ryzen AI 300 NPU performance supported,keynote_forum,en,1,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,Ryzen 9000 Series desktop CPUs,cpu,"AMD announced its Zen 5-based Ryzen 9000 desktop processors for the AM5 platform, led by the Ryzen 9 9950X. The family targets leadership consumer PC and gaming performance and is slated to go on sale in July.",16% higher IPC,2024Q3,announced,all of this comes together in the product in ryzen 9000 Series and we're delivering an average of 16% higher IPC across a broad range of application benchmarks and games compared to zen4,0.96,real_new,True,True,Ryzen 9000 IPC uplift supported,keynote,en,1,https://www.youtube.com/watch?v=7NzvVcQjF6o
2024,AMD,AMD,Versal AI Edge Gen 2 Early Access,accelerator,"AMD announced Early Access for the next-generation Versal AI Edge Gen 2 platform. It integrates preprocessing, inferencing, and post-processing into a single adaptive edge AI chip, reducing what previously required three separate chips.",more than 30,,announced,So today we're announcing Early Access for our next gen versal platform more than 30 of our strategic partners are already developing Edge AI devices powered by our new single chip versal solution,0.96,real_new,True,True,Early access and partner count supported,keynote_forum,en,2,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,5th Gen EPYC Turin,cpu,"AMD previewed its upcoming fifth-generation EPYC server CPU, code-named Turin, with up to 192 cores and drop-in compatibility with existing fourth-generation EPYC platforms. AMD said it is on track to launch in the second half of 2024.",192 cores,2024H2,announced,Turan features 192 cores and 384 threads and has 13 different chiplets built in three and six nanometer process technology,0.96,real_new,True,True,Turin core count detailed,keynote,en,2,https://www.youtube.com/watch?v=7NzvVcQjF6o
2024,AMD,AMD,Instinct MI325X accelerator,gpu,"AMD added the Instinct MI325X accelerator to its annual AI GPU roadmap, with faster and larger HBM3E memory while retaining MI300 infrastructure compatibility. The product is planned for launch later in 2024.",,2024H2,roadmap,later this year we plan to launch Mi 325x with faster and more memory followed by our Mi 350 Series in 2025 that will use our new cdna 4 architecture,0.96,real_new,True,True,MI325X launch commitment stated,keynote,en,1,https://www.youtube.com/watch?v=7NzvVcQjF6o
