event,year,date,company,tickers,speaker,announcement,category,summary,key_number,metric_value,metric_unit,ship_quarter,availability,quote,confidence,video_id,video_url
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Zen 5 CPU core,cpu,"AMD announced Zen 5, a ground-up CPU core design for PCs, data centers, and supercomputers. The core doubles several internal bandwidth paths versus Zen 4 and is positioned as AMD's highest-performance, most energy-efficient core to date.",16% higher IPC,16.0,%,,announced,"All of this comes together in the product in Ryzen 9000 series, and we're delivering an average of 16% higher IPC across a broad range of application benchmarks and games compared to Zen 4.",0.96,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Ryzen 9000 desktop CPUs,cpu,"AMD announced the Ryzen 9000 desktop CPU family for the AM5 platform, bringing Zen 5 to consumer desktops with PCIe 5 and DDR5 support. The lineup includes 16-, 12-, 8-, and 6-core versions aimed at enthusiast and mainstream desktop segments.",,,,2024Q3,announced,"Now, in addition to the top of the stack, Ryzen 9950X, we're also announcing the 12-, 8-, and 6-core versions that will bring the leadership performance of Zen 5 to mainstream price points, and all of these go on sale in July.",0.97,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Ryzen 9 9950X,cpu,"AMD introduced the Ryzen 9 9950X as the flagship Ryzen 9000 desktop processor. It is a 16-core Zen 5 consumer CPU with high boost clocks and a 170W TDP, positioned as the fastest consumer CPU in the world.",16 Zen 5 cores,16.0,count,2024Q3,announced,"We have 16 Zen 5 cores, 32 threads, up to 5.67 gigahertz boost, a large 80 megabyte cache at 170 watt TDP.",0.96,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Socket AM5 support extension,roadmap,AMD committed to supporting the AM5 desktop socket through 2027 and beyond. This extends AMD's platform-longevity strategy and gives desktop OEMs and enthusiasts visibility into future CPU upgrade paths.,through 2027 and beyond,2027.0,year,,roadmap,"And we're taking this exact same strategy with Socket AM5, which we now plan on supporting through 2027 and beyond, so you're going to see AM5 processors from us for many, many years to come.",0.95,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD;MSFT,Lisa Su,Ryzen AI 300 series / Strix,platform,"AMD announced its third-generation Ryzen AI 300 series, codenamed Strix, for ultra-thin and premium notebooks. The chip integrates Zen 5 CPU cores, RDNA 3.5 graphics, and an XDNA 2 NPU for Copilot+ AI PCs.",50 TOPS,50.0,TOPS,2024Q3,announced,We have a new NPU that delivers an industry-leading 50 TOPS.,0.98,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Ryzen AI 9 HX 370,cpu,"AMD announced the flagship Ryzen AI 9 HX 370 mobile processor within the Ryzen AI 300 family. It combines 12 Zen 5 cores, 24 threads, cache, integrated NPU capability, and RDNA graphics for premium AI notebooks.",12 Zen 5 cores,12.0,count,2024Q3,announced,"The flagship Ryzen 9 HX 370 has 12 Zen 5 cores, 24 threads, 36 megabytes of cache, the industry's most integrated NPU, and our latest RDNA graphics.",0.94,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,XDNA 2 NPU block FP16 support,npu,AMD announced that XDNA 2 is the first NPU to support block FP16 data types. This is positioned as enabling generative AI models to run with 16-bit-like accuracy and 8-bit-like performance without quantization compromises.,block 16-bit floating-point,16.0,bit,2024Q3,announced,"Now XDNA 2 is the first NPU to support block 16-bit floating-point, and what that means is block FP16 actually combines the accuracy of 16-bit data with the performance of 8-bit data.",0.96,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD;ADBE;SONY;ZM,Lisa Su,AMD AI PC ISV commitment,software,AMD committed to expanding the software ecosystem for Ryzen AI and other AMD AI PC platforms. The company said it is on track to have more than 150 ISVs developing for AMD AI platforms by the end of 2024.,more than 150 ISVs,150.0,count,2024Q4,roadmap,"And by the end of 2024, we're on track to have more than 150 ISVs developing for AMD AI platforms across content creation, consumer, gaming, and productivity applications.",0.92,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD;HPQ,Lisa Su,HP next-generation OmniBook with Ryzen AI 300,partnership,HP announced a next-generation OmniBook using AMD's Ryzen AI 300 series. The system is positioned as an AI PC leveraging the 50 TOPS NPU for local generative AI and real-time AI experiences.,50 TOPS,50.0,TOPS,in a few weeks,announced,"This is the next generation OmniBook, when we integrate the latest Ryzen AI 300 series that as Lisa was saying before, will be the first product that will have 50 TOPS integrated in the device.",0.9,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD;LNVGY,Lisa Su,Lenovo third-generation Ryzen AI laptops,partnership,"Lenovo announced plans to launch AI laptops using AMD third-generation Ryzen AI processors across Yoga, ThinkPad, and ThinkBook lines. Lenovo also highlighted exclusive on-device AI features such as Creator Zone and AI Now.",over 50 TOPS,50.0,TOPS,2H24,announced,"So later this year, we are going to launch Lenovo AI laptops with the third-gen Ryzen AI processors for consumers through our Yoga franchisee, for commercial with our legendary ThinkPad brand, and for small and medium businesses through our ThinkBook lineup.",0.89,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
