order,event,timing,model_date_if_prospectus_2026_06_11,shares_released_m,pool,percent_of_base_ipo_float,condition,inside_first_6_months,release_x_base_ipo_float,release_pct_basic_common,release_pct_post_class_a,release_pct_relevant_pool
0,IPO float,At offering,2026-06-11,555.555555,IPO shares,100.0,Freely tradable unless held by affiliates; includes any directed-share purchases.,True,1.0,4.248709722567172,7.527652199187732,
1,Over-allotment option,30 days after prospectus,2026-07-11,83.333333,IPO option,15.0,Only if underwriters exercise option.,True,0.14999999954999998,0.6373064564731565,1.1291478264907162,
2,First earnings release unlock,2nd full trading day after Q2 2026 earnings release,TBD - likely Aug 2026,911.5,180-day pool,164.1,"20% release from 180-day lock-up pool, non-affiliates only.",True,1.6407000016406998,6.970858048786818,12.35061897555793,20.0
3,Performance early release,Same Q2 2026 release window,TBD - likely Aug 2026,455.8,180-day pool,82.0,Only if closing price is at least 30% above IPO price for 5 of 10 trading days ending on first earnings release date.,True,0.82044000082044,3.4858114082688227,6.17598697647757,10.001097092704333
4,Day 70 release,70th day after prospectus,2026-08-20,319.0,180-day pool,57.4,"7% release from 180-day lock-up pool, non-affiliates only.",True,0.5742000005742,2.4396091251376797,4.322377897095973,6.999451453647833
5,Day 90 release,90th day after prospectus,2026-09-09,319.0,180-day pool,57.4,"7% release from 180-day lock-up pool, non-affiliates only.",True,0.5742000005742,2.4396091251376797,4.322377897095973,6.999451453647833
6,Affiliate catch-up release,91st day after prospectus,2026-09-10,59.1,180-day affiliate pool,10.6,Affiliate shares previously released from lock-up but delayed by Rule 144 timing.,True,0.10638000010638,0.45197774073867353,0.8007916417503825,1.296763576522216
7,Day 105 release,105th day after prospectus,2026-09-24,328.4,180-day pool,59.1,7% release from 180-day lock-up pool.,True,0.5911200005911199,2.5114972937154043,4.449745772433598,7.205704882062534
8,Day 120 release,120th day after prospectus,2026-10-09,328.4,180-day pool,59.1,7% release from 180-day lock-up pool.,True,0.5911200005911199,2.5114972937154043,4.449745772433598,7.205704882062534
9,Day 135 release,135th day after prospectus,2026-10-24,328.4,180-day pool,59.1,7% release from 180-day lock-up pool.,True,0.5911200005911199,2.5114972937154043,4.449745772433598,7.205704882062534
10,Q3 2026 earnings release unlock,2nd full trading day after Q3 2026 earnings release,TBD - likely Nov 2026,1300.0,180-day pool,234.0,28% release from 180-day lock-up pool.,True,2.34000000234,9.941980760749166,17.614706163713997,28.52441031267142
11,Day 180 final 180-day release,180th day after prospectus,2026-12-08,328.4,180-day pool,59.1,If performance early release occurred; otherwise up to 797.6M shares.,True,0.5911200005911199,2.5114972937154043,4.449745772433598,7.205704882062534
12,Day 180 final 180-day release - no performance release case,180th day after prospectus,2026-12-08,797.6,180-day pool,143.6,Alternative case if Q2 price-trigger release did not occur.,True,1.4356800014356799,6.099787580595026,10.807299720137141,17.50082281952825
13,Q4 2026 extended-lock release,2nd full trading day after Q4 2026 earnings release,TBD - likely Mar 2027,351.9,extended lock-up ex-Musk,63.3,20% of extended lock-up pool excluding Musk.,False,0.63342000063342,2.6912177151597163,4.7681654607776585,5.4984375
14,Day 280 extended release,280th day after prospectus,2027-03-18,176.0,extended lock-up ex-Musk,31.7,10% of extended lock-up pool excluding Musk.,False,0.3168000003168,1.3459912414552715,2.3847602190874335,2.75
15,Q1 2027 extended-lock release,2nd full trading day after Q1 2027 earnings release,TBD - likely May 2027,351.9,extended lock-up ex-Musk,63.3,20% of extended lock-up pool excluding Musk.,False,0.63342000063342,2.6912177151597163,4.7681654607776585,5.4984375
16,Day 340 extended release,340th day after prospectus,2027-05-17,176.0,extended lock-up ex-Musk,31.7,10% of extended lock-up pool excluding Musk.,False,0.3168000003168,1.3459912414552715,2.3847602190874335,2.75
17,Day 366 extended release,366th day after prospectus,2027-06-12,351.9,extended lock-up ex-Musk,63.3,20% of extended lock-up pool excluding Musk.,False,0.63342000063342,2.6912177151597163,4.7681654607776585,5.4984375
18,Musk lock-up release,366th day after prospectus,2027-06-12,6400.0,Musk lock-up,1152.0,"All Musk-held shares, including Class B conversion shares and options; no early release.",False,11.520000011519999,48.94513605291896,86.71855342136122,100.0
19,Q2 2027 remaining extended release,2nd full trading day after Q2 2027 earnings release,TBD - likely Aug 2027,351.9,extended lock-up ex-Musk,63.3,Remaining extended lock-up pool.,False,0.63342000063342,2.6912177151597163,4.7681654607776585,5.4984375
