source,date,filing_or_article,url,used_for,status
SpaceX S-1/A,2026-06-03,"S-1/A, accession 0001628280-26-040364",https://www.sec.gov/Archives/edgar/data/1181412/000162828026040364/spaceexplorationtechnologib.htm,"Offering math, ownership, segment financials, lock-up schedule, risk factors",primary
SpaceX FWP - UK retail offer,2026-06-04,"FWP, accession 0001628280-26-040874",https://www.sec.gov/Archives/edgar/data/1181412/000162828026040874/spacexukfwp.htm,"Retail-offer context, UK distribution, disclosure-summary cross-check",primary
SpaceX FWP - company update,2026-06-04,"FWP, accession 0001628280-26-040610",https://www.sec.gov/Archives/edgar/data/1181412/000162828026040610/spacexfwp.htm,Filing completeness check,primary
SpaceX FWP - Google compute agreement,2026-06-05,"FWP, accession 0001628280-26-041150",https://www.sec.gov/Archives/edgar/data/1181412/000162828026041150/spacexagreementfwp.htm,Post-S-1 compute revenue delta: Google $920M/month contract disclosure,primary
SpaceX FWP - Japan retail offer,2026-06-05,"FWP, accession 0001628280-26-041013",https://www.sec.gov/Archives/edgar/data/1181412/000162828026041013/japanfwp_06042026.htm,Retail-offer context and filing completeness check,primary
SpaceX FWP - EU interview transcript,2026-06-08,"FWP, accession 0001628280-26-041365",https://www.sec.gov/Archives/edgar/data/1181412/000162828026041365/eu_interviewtranscript06.htm,Latest EDGAR filing check as of model build date,primary
SpaceX IPO launch release,2026-06-04,Company IPO launch release,https://content.spacex.com/cms-assets/FINAL_Documents%20and%20Updates/6.4.26_SpaceX_Announces_IPO_US.pdf,Company announcement cross-check,primary
Axios - SpaceX IPO raise,2026-06-03,SpaceX plans to raise $75B in its IPO,https://www.axios.com/2026/06/03/spacex-ipo-raise,"News cross-check on size, price and largest-IPO context",secondary
Axios - retail allocation color,2026-06-08,Elon Musk's market magic,https://www.axios.com/2026/06/08/musk-spacex-stocks-ipo,Retail allocation and market-sentiment color only,secondary
TechCrunch - IPO filing overview,2026-05-20,"The SpaceX IPO filing is filled with AI bets, Starship dreams, and Elon Musk at the center",https://techcrunch.com/2026/05/20/the-spacex-ipo-filing-has-arrived/,Qualitative news cross-check; not a model input,secondary
YehCapital study 15 - Should you chase IPOs?,2026-06-08,15-ipo-chase public research note,../15-ipo-chase/,Broad aftermarket IPO base rate: day-1 close entries versus SPY,internal published research
Nasdaq-100 Index Methodology,2026-05-01,Methodology_NDX.pdf,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,"Nasdaq-100 fast-entry, seasoning, liquidity and low-float weighting rules",primary
Nasdaq-100 methodology update,2026-05-08,"Nasdaq-100 Index Methodology Update: Why Now, and What It Means",https://www.nasdaq.com/newsroom/nasdaq100-index-methodology-update-why-now,Cross-check on May 1 rule changes and June 22 first rebalance under new rules,primary
S&P U.S. Indices Methodology,2026-05,methodology-sp-us-indices.pdf,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf,"S&P 500 eligibility, seasoning, liquidity, IWF and profitability rules",primary
S&P DJI MegaCap consultation results,2026-06-04,S&P Dow Jones Indices Consultation on Treatment of MegaCap Companies - Results,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20260604-1483731/1483731_spdji-us-indices-megacaps-results-20260604.pdf,S&P 500 no-change decision and Total Market Index mega-cap IWF update,primary
Tesla 10-Q,2026-04-23,"Tesla Form 10-Q for quarter ended March 31, 2026",https://www.sec.gov/Archives/edgar/data/1318605/000162828026026673/tsla-20260331.htm,Tesla SpaceX equity investment and Q1 2026 SpaceX Megapack related-party transaction cross-check,primary
Tesla 10-K/A,2026-04-30,Tesla Form 10-K/A for fiscal year 2025,https://www.sec.gov/Archives/edgar/data/1318605/000110465926053166/tm2611837d1_10ka.htm,Musk outside roles and Tesla/SpaceX/xAI/X related-party transaction cross-check,primary
