order,event_date,milestone,date_basis,date_precision,incremental_perf_case_m,incremental_no_perf_case_m,circulating_free_float_perf_case_m,circulating_free_float_perf_case_pct_basic_common,circulating_free_float_perf_case_pct_post_class_a,circulating_free_float_no_perf_case_m,circulating_free_float_no_perf_case_pct_basic_common,circulating_free_float_no_perf_case_pct_post_class_a,note,starting_ipo_float_m,starting_ipo_float_pct_basic_common,interpretation
0,2026-06-11,IPO float,At offering,model_calendar_date,555.555555,555.555555,555.555555,4.248709722567172,7.527652199187732,555.555555,4.248709722567172,7.527652199187732,Starting tradable Class A supply.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
1,TBD - likely Aug 2026,First earnings release unlock,Q2 2026 earnings window,expected_month,911.5,911.5,1467.055555,11.21956777135399,19.87827117474566,1467.055555,11.21956777135399,19.87827117474566,20% release from 180-day pool.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
2,TBD - likely Aug 2026,Performance early release,Q2 2026 earnings window,expected_month,455.8,0.0,1922.8555549999999,14.705379179622813,26.05425815122323,1467.055555,11.21956777135399,19.87827117474566,Only in performance case: price at least 30% above IPO price for 5 of 10 trading days.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
3,2026-08-20,Day 70 release,70th day after prospectus,model_calendar_date,319.0,319.0,2241.855555,17.144988304760496,30.376636048319206,1786.055555,13.65917689649167,24.200649071841635,7% release from 180-day pool.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
4,2026-09-09,Day 90 release,90th day after prospectus,model_calendar_date,319.0,319.0,2560.855555,19.584597429898174,34.69901394541518,2105.055555,16.098786021629348,28.52302696893761,7% release from 180-day pool.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
5,2026-09-10,Affiliate catch-up release,91st day after prospectus,model_calendar_date,59.1,59.1,2619.955555,20.036575170636848,35.49980558716556,2164.155555,16.550763762368025,29.32381861068799,"Rule 144 timing catch-up; shown as incremental tradable supply, not a new percentage tranche.",555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
6,2026-09-24,Day 105 release,105th day after prospectus,model_calendar_date,328.4,328.4,2948.355555,22.548072464352252,39.94955135959916,2492.555555,19.062261056083425,33.77356438312159,7% release from 180-day pool.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
7,2026-10-09,Day 120 release,120th day after prospectus,model_calendar_date,328.4,328.4,3276.755555,25.059569758067656,44.399297132032764,2820.955555,21.573758349798833,38.22331015555518,7% release from 180-day pool.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
8,2026-10-24,Day 135 release,135th day after prospectus,model_calendar_date,328.4,328.4,3605.1555550000003,27.57106705178306,48.84904290446636,3149.355555,24.085255643514238,42.673055927988784,7% release from 180-day pool.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
9,TBD - likely Nov 2026,Q3 2026 earnings release unlock,Q3 2026 earnings window,expected_month,1300.0,1300.0,4905.155555,37.51304781253222,66.46374906818036,4449.355555,34.0272364042634,60.28776209170279,28% release from 180-day pool.,555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
10,2026-12-08,Day 180 final release,180th day after prospectus,model_calendar_date,328.4,797.6,5233.555555,40.02454510624763,70.91349484061395,5246.9555550000005,40.127023984858425,71.09506181183993,"Final 180-day release is smaller if the performance release happened, larger if it did not.",555.555555,4.248709722567172,Circulating/free float means potential legally tradable Class A supply after the milestone; it is not a sale forecast.
